MAG,ANNEE,MOIS,CA
4191,2021,8,263459.373
4368,2021,8,106170.830
7009,2021,8,432045.530
4741,2021,8,119282.820
4456,2021,8,138898.540
6753,2021,8,351253.440
4252,2021,8,117896.170
6737,2021,8,121390.140
6398,2021,8,123582.260
6013,2021,8,66971.120
4150,2021,8,182808.213
5961,2021,8,66693.710
4147,2021,8,268739.490
6240,2021,8,246780.460
8049,2021,8,276614.307
5162,2021,8,141060.320
4963,2021,8,131772.730
5083,2021,8,126036.833
5304,2021,8,36209.940
8684,2021,8,160917.440
4783,2021,8,86012.920
7100,2021,8,46407.720
4819,2021,8,116431.020
6201,2021,8,45521.600
4208,2021,8,172472.260
8309,2021,8,138122.540
4287,2021,8,98127.500
6170,2021,8,165161.600
4281,2021,8,94414.190
5248,2021,8,143046.750
4426,2021,8,106286.210
5541,2021,8,151087.840
6254,2021,8,116646.990
5365,2021,8,194019.560
5375,2021,8,134756.930
1020,2021,8,132713.550
4465,2021,8,376573.510
5507,2021,8,130960.600
5575,2021,8,92920.560
4355,2021,8,104350.870
8182,2021,8,106910.800
5446,2021,8,99989.174
5132,2021,8,152572.340
4775,2021,8,137892.610
6041,2021,8,91456.470
6714,2021,8,72325.610
5463,2021,8,141078.830
8107,2021,8,40744.940
4329,2021,8,111188.440
6176,2021,8,28034.960
5803,2021,8,134965.260
7550,2021,8,167982.960
5361,2021,8,138034.340
5738,2021,8,86799.810
7140,2021,8,85586.740
4425,2021,8,119514.540
5329,2021,8,148702.190
4207,2021,8,93355.050
4965,2021,8,148674.330
6283,2021,8,71625.350
6755,2021,8,225491.710
4339,2021,8,116610.810
4205,2021,8,115533.280
6156,2021,8,108328.980
4386,2021,8,98572.240
4773,2021,8,62361.160
4340,2021,8,114215.110
1014,2021,8,241802.370
6175,2021,8,167078.630
7796,2021,8,14920.720
6736,2021,8,163360.200
5268,2021,7,51552.680
4835,2021,7,68535.900
4380,2021,7,168319.400
5173,2021,7,195158.310
5104,2021,7,131329.130
5959,2021,7,256307.460
6352,2021,7,110724.360
8688,2021,7,126986.640
8210,2021,7,428022.770
4367,2021,7,109129.270
4829,2021,7,203309.040
6739,2021,7,126354.780
4089,2021,7,352219.710
6866,2021,7,285393.220
6753,2021,7,377990.760
5045,2021,7,431219.040
4298,2021,7,135428.730
5694,2021,7,361492.550
6156,2021,7,104691.170
4369,2021,7,100275.150
4384,2021,7,199827.440
4331,2021,7,139527.960
4780,2021,7,66046.800
7976,2021,7,139670.990
4426,2021,7,124834.810
4293,2021,7,98241.510
4411,2021,7,189986.300
5428,2021,7,238432.880
4845,2021,7,192402.560
8045,2021,7,131914.850
6324,2021,7,186775.280
8049,2021,7,312968.895
6302,2021,7,127806.560
6233,2021,7,151125.270
4205,2021,7,126814.800
7444,2021,7,166853.750
8232,2021,7,204387.200
4784,2021,7,23956.060
4819,2021,7,118583.890
5492,2021,7,232532.170
5599,2021,7,122823.770
5229,2021,7,534517.720
